Date,Top_Pick,Top_Pick_Actual_Return,RF_Week_Return (%),RF_Week_PnL ($),RF_Portfolio_Value ($),EW_Week_Return (%),Result,vs_EqualWeight
2025-08-29,META,-2.1317187562103213,-0.1959,-31.2,15896.78,0.1454,Loss,EW Better
2025-09-05,GS,-0.944649446494461,-0.1699,-27.01,15869.77,0.41700000000000004,Loss,EW Better
2025-09-12,CVX,2.245216712221798,2.2162,351.7,16221.47,1.9114,Profit,RF Better
2025-09-19,MSFT,1.5748185918807556,1.7496,283.81,16505.27,1.8546,Profit,EW Better
2025-09-26,TSLA,3.363297110803387,0.1157,19.1,16524.37,0.34199999999999997,Profit,EW Better
2025-10-03,TSLA,-2.4000908265213394,-0.0164,-2.71,16521.66,0.3912,Loss,EW Better
2025-10-10,TSLA,-3.80150291975897,-3.1864000000000003,-526.44,15995.22,-2.7146,Loss,EW Better
2025-10-17,MSFT,0.5127602943479026,1.8538999999999999,296.53,16291.75,1.6782,Profit,RF Better
2025-10-24,JPM,0.9678720258099238,1.9903,324.26,16616.01,1.9485,Profit,RF Better
2025-10-31,WMT,-4.700009418856544,0.3227,53.62,16669.63,0.6854,Profit,EW Better
2025-11-07,MSFT,-4.053610397636187,-2.4041,-400.76,16268.87,-1.6759,Loss,EW Better
2025-11-14,MSFT,2.689102693128298,-0.11379999999999998,-18.51,16250.36,0.043199999999999995,Loss,EW Better
2025-11-21,BA,-7.618753855644678,-2.6723,-434.26,15816.1,-1.9064999999999999,Loss,EW Better
2025-11-28,MSFT,4.212911971532662,4.2619,674.06,16490.16,4.2237,Profit,RF Better
2025-12-05,MSFT,-1.7987439279689377,1.8196,300.05,16790.21,1.5505,Profit,RF Better
2025-12-12,MSFT,-0.9582746916135587,0.0068,1.13,16791.35,-0.0115,Profit,RF Better
2025-12-19,MSFT,1.5443127912565746,0.826,138.7,16930.05,0.325,Profit,RF Better
2025-12-26,TSLA,-1.2489609310058158,0.8626999999999999,146.06,17076.1,1.123,Profit,EW Better
2026-01-02,GS,0.8048156641383031,-0.7929999999999999,-135.42,16940.68,-0.21489999999999998,Loss,EW Better
2026-01-09,MSFT,1.34055059838456,1.3501,228.72,17169.4,1.6161999999999999,Profit,EW Better
2026-01-16,MSFT,-4.051911200133529,-0.3666,-62.94,17106.46,0.49750000000000005,Loss,EW Better
2026-01-23,JPM,-4.720453163503691,-0.41609999999999997,-71.18,17035.27,0.2184,Loss,EW Better
2026-01-30,JPM,2.7441891710331623,1.9949000000000001,339.83,17375.1,1.4773,Profit,RF Better
2026-02-06,MSFT,-6.774500917985549,0.5757,100.03,17475.13,0.23739999999999997,Profit,RF Better
2026-02-13,AMZN,-5.4821224800304265,-2.7071,-473.06,17002.06,-1.6403999999999999,Loss,EW Better
2026-02-20,MSFT,-1.0191368484002705,1.5596,265.17,17267.23,0.23410000000000003,Profit,RF Better
2026-02-27,MSFT,-1.1303275180625905,-0.48190000000000005,-83.22,17184.02,-0.6189,Loss,RF Better
